codigo_alimento,descricao_alimento
6501415,FARINHA DE AGUA
6501416,CRUERA/ CRUEIRA
6501515,SAGU DE TAPIOCA
6501516,TAPIOCA DE GOMA
6502001,FARINHA LACTEA
6502101,NESTON
6502102,FLOCOS DE CEREAIS
6502105,VITAFLOCOS
6502106,FLOCOS NAO ESPECIFICADO
6502107,FLOCOS DE CENTEIO
6502108,FLOCOS DE CEVADA
6502109,FLOCOS DE TRIGO
6502501,FIBRA DE SOJA
6502603,MINI PASTEL
6503401,MACARRAO
6503501,PURE DE BATATA
6503502,PURE DE ABOBORA / JERIMUM / GERIMUM
6503503,PURE DE INHAME
6503504,PURE DE MANDIOCA
6503601,BIFE VEGETAL
6503603,CARNE VEGETAL
6503604,PASTA DE SOJA
6503605,CARNE DE SOJA
6503702,AMENDOIM MOIDO
6504101,GRANOLA
6504601,MUSLI
6504701,MIX DE CEREAIS
6504801,MIOJO
6504802,MACARRAO INSTANTANEO
6505101,SUSTAGEM
6505102,"NUTREN, ENSURE, SUSTEN"
6505601,PROTEINA DE SOJA
6505603,PROTEINA VEGETAL
6505701,COMPLEMENTO ALIMENTAR DE QUALQUER SABOR
6505902,SUCRILHOS DE MILHO LIGHT
6506302,MACARRAO INSTANTANEO LIGHT
6573225,MACARRAO COM CARNE
6573226,MACARRAO COM PEIXE / ATUM / SARDINHA
6573239,MACARRONESE
6573240,SALADA DE MACARRAO
6573241,SALADA DE MACARRAO COM MAIONESE
6573242,MASSA / MACARRAO INTEGRAL
6573243,MASSA / MACARRAO SEM GLUTEN
6573244,"MASSA, ARROZ (TIPO BIFUM)"
6580001,SUPLEMENTO PROTEICO E OUTROS
6580101,"VITAMINAS, MINERAIS E OUTROS"
6580201,ALETRIA
6600101,COCO DA BAHIA
6600104,COCO SECO
6600105,COCO VERDE
6600301,CASTANHA PORTUGUESA
6600401,PINHAO
6600501,AMENDOA
6600601,AVELA
6600701,CASTANHA DO PARA
6600702,CASTANHA DO BRASIL
6600703,NOZES DO PARA
6600801,CASTANHA DE CAJU
6600901,COCO OURICURI
6600912,BUTIA
6600913,LICURI
6601002,COCO BABACU
6601005,BABACU / BABASSU
6601108,TUCUMA
6601208,COCO MUCAJA
6601211,MACAUBA
6601213,BOCAIUVA
6601501,NOZ
6601601,COCO-INAJA
6601602,COCO-ANAJA
6601604,COCOANAIA
6601605,INAJA
6601607,NAJA
6601707,JUCARA
6601709,UACAI
6601712,JUSSARA
6601803,COCO PUPUNHA
6601805,PUPUNHA
6601902,BACABA
6601904,BACABUCU
6602001,CASTANHA DA INDIA
6602201,PISTACHE
6602301,BURITI
6602401,COCO NAO ESPECIFICADO
6602501,CASTANHAS NAO ESPECIFICADAS
6602502,"CASTANHAS E SEMENTES, MISTURA"
6602601,PATAUA
6602901,NOZ MACADAMIA
6603001,NOZ PECAN
6603002,PECAN
6603102,SAPUCAIA
6603201,"TAHINI, PASTA"
6700101,ALFACE
6700201,BERTALHA
6700301,CHICORIA
6700304,ESCAROLA
6700305,ENDIVIA
6700501,COUVE
6700601,COUVE FLOR
6700701,ESPINAFRE
6700801,MOSTARDA (VERDURA)
6700901,REPOLHO
6700903,REPOLHO ROXO
6700904,REPOLHO VERDE
6701101,CEBOLINHA
6701301,AGRIAO
6701401,TAIOBA
6701501,ACELGA
6701505,BETERRABA BRANCA (ACELGA)
6701601,ALMEIRAO
6701602,RADITE
6701704,BROCOLIS
6701801,SERRALHA
6701901,CARURU
6701904,AZEDA
6701906,CUXA
6701907,VINAGREIRA
6701913,CARIRU
6702001,RUCULA
6702105,JAMBU
6702201,LINGUA DE VACA (VERDURA)
6702301,ALCACHOFRA
6702501,BREDO
6702604,SALSAO (AIPO)
6702701,COUVE CHINESA
6702801,ERVA DOCE
6702901,AZEDINHA
6703001,FOLHA DE MANDIOCA
6703002,FOLHA DE MANIVA (MANDIOCA BRAVA)
6703003,FOLHA DE AIPIM
6703004,FOLHA DE MACAXEIRA
6703101,BROTO DE FEIJAO
6703306,MORANGA
6703701,ABOBRINHA
6703707,CAXI
6703805,JERIMUM
6703901,ABOBORA
6704001,PEPINO
6704101,CHUCHU
6704106,CHUCHU AO FORNO
6704201,JILO
6704301,MAXIXE
6704306,PEPININHO (MAXIXE)
6704401,PALMITO IN NATURA
6704409,GUARIROBA (PALMITO IN NATURA)
6704410,GUEROBA / GUEIROBA (PALMITO IN NATURA)
6704501,PIMENTAO
6704601,PIMENTA MALAGUETA
6705001,QUIABO
6705101,TOMATE
6705201,VAGEM
6705301,COGUMELO IN NATURA
6705401,BERINJELA / BERINGELA
6705501,ERVILHA EM VAGEM
6705601,CABACA
6705701,CEBOLA
6705704,CEBOLA ROXA
6705801,CATALONHA
6705901,COUVE-RABANO
6705907,PORONGO / PORUNGO
6706001,NIRA
6706101,JARDINEIRA (SELETA)
6706102,SELETA (JARDINEIRA)
6706201,ALHO
6706301,ALHO PORO
6707301,BROTO DE ALFAFA
6709301,FOLHA DE CENOURA
6709701,OREGANO
6709901,ASPARGOS FRESCO
6710101,MASTRUZ
6710102,MENTRUZ
6710103,MASTRUCO
6710201,COUVE-DE-BRUXELAS
6710701,ORA-PRO-NOBIS
6711001,VEGETAIS FOLHOSOS NAO ESPECIFICADOS
6711101,VEGETAIS NAO ESPECIFICADOS
6711201,ALCAPARRAS
6711401,ALGAS
6711501,ALICHELA
6711601,CAMBUQUIRA
6711701,FLOR NAO ESPECIFICADA
6711801,FLOR DE ABOBORA
6800701,BANANA-ROXA
6800901,BANANA-SAO-TOME
6801001,BANANA DA TERRA
6801002,BANANA-PACOVA
6801007,CHIFRE-DE-BOI
6801017,PACOVA
6801101,"BANANA (OURO, PRATA, DAGUA, ETC)"
6801601,MACADAMIA
6801801,"LARANJA (PERA, SELETA, LIMA, DA TERRA, ETC)"
6801901,LIMA
6802001,"LIMAO (COMUM, GALEGO, ETC)"
6802201,TANGERINA
6802202,MEXERICA
6802217,BERGAMOTA
6802218,MIMOSA
6802223,TANJA
6802227,MARICOTA
6802305,GRAPEFRUIT / TORANJA
6802407,LARANJINHA JAPONESA / QUINCAN / KINKAN
6802501,CANA DE ACUCAR
6802601,ABACAXI
6802602,ANANAS
6802701,ABACATE
6802801,CAQUI
6802901,FIGO
6803001,MACA
6803101,MAMAO
6803108,PAPAIA
6803201,MANGA
6803215,MANGUITO
6803301,MARACUJA
6803401,MELANCIA
6803501,MELAO
6803601,PERA
6803701,PESSEGO
6803801,FRUTA DE CONDE
6803802,PINHA (FRUTA DE CONDE)
6803803,ATA
6803804,ANONA
6803901,UVA
6803912,UVA PASSA
6804001,JENIPAPO
6804101,JACA
6804201,GOIABA
6804203,ARACA ACU (GOIABA)
6804301,AMEIXA
6804401,CAJU
6804501,CEREJA
6804601,CAJA MANGA
6804602,CAJARANA
6804604,UMBU-CAJA
6804701,TAPEREBA / TAPERIBA / CAJA-MIRIM / CAJA-PEQUENO
6804702,ACAJA (TAPEREBA)
6804705,CAJA
6804801,CARAMBOLA
6804908,JABUTICABA / JABOTICABA
6805001,GRAVIOLA / JACA-DE-POBRE
6805101,ARATICUM
6805201,MORANGO
6805301,JAMBO
6805401,ATEMOIA
6805501,GROSELHA
6805601,MANGABA
6805701,ARACA
6805801,NESPERA
6805901,FRUTA PAO
6806001,SAPOTI
6806101,UXI
6806201,TAMARINDO
6806301,CACAU (FRUTA)
6806401,PITOMBA
6806501,BACURI
6806601,INGA
6806701,PEQUI
6806703,PEQUIA
6806704,PIQUIA
6806801,PITANGA
6806901,CIRIGUELA
6806902,CERIGUELA / SERIGUELA / SIRIGUELA
6807001,MURICI
6807015,MIRICI
6807101,UMBU
6807103,IMBU
6807202,BIRIBA / BERIBA
6807301,CUPUACU
6807401,NECTARINA
6807501,MARI
6807505,UMARI
6807601,ROMA
6807701,ACEROLA
6807801,KIWI
6807901,MANGOSTIM
6807902,MANGOSTAO
6808001,ABIU
6808101,ABRICO
6808102,ABRICO-DO-PARA
6808201,JURUBEBA
6808301,GRUMIXAMA
6809901,AMORA
6810001,LICHIA
6810201,JAMELAO (JAMBURAO)
6810301,CACARI / CAMU-CAMU
6810401,CAMAPU
6810402,FISALIS
6810403,PHYSALIS
6810501,CRANBERRY
6810601,FRAMBOESA
6810701,MARMELO
6810801,MIRTILO
6810901,TAMARA
6811001,DAMASCO
6900301,ACUCAR DEMERARA
6900302,DEMERARA
6900304,ACUCAR MASCAVO
6900401,RAPADURA
6900402,ALFENIM DE CANA
6900403,BATIDA (RAPADURA)
6900501,SORVETE DE QUALQUER SABOR INDUSTRIALIZADO
6900502,PICOLE DE QUALQUER SABOR INDUSTRIALIZADO
6900507,SORVETE DE PALITO
6900601,CHICLETES
6900603,BALA
6900604,CARAMELO (BALA)
6900605,DROPS
6900606,PASTILHA
6900607,PIRULITO
6900609,GOMA DE MASCAR
6900610,JUJUBA
6900615,BALA DE COCO
6900616,BALA DE GOMA
6900617,BALA DE FRUTA
6900701,TABLETE DE CHOCOLATE
6900702,BARRA DE CHOCOLATE
6900703,"CHOCOLATE, TABLETE NAO ESPECIFICADO"
6900706,CONFETE
6900710,"CHOCOLATE, TABLETE, AO LEITE"
6900711,"CHOCOLATE, TABLETE, AO LEITE, RECHEADO"
6900712,"CHOCOLATE, TABLETE, BRANCO"
6900713,"CHOCOLATE, TABLETE, BRANCO, RECHEADO"
6900714,"CHOCOLATE, TABLETE, MEIO AMARGO"
6900715,"CHOCOLATE, TABLETE, MEIO AMARGO, RECHEADO"
6900716,"CHOCOLATE, TABLETE, RECHEADO NAO ESPECIFICADO"
6900801,CHOCOLATE EM PO DE QUALQUER MARCA
6900818,OVOMALTINE
6900819,OVOMALTINE EM PO
6900821,ACHOCOLATADO EM PO
6900822,TODDYNHO
6900901,BOMBOM DE QUALQUER MARCA
6900904,TRUFA
6901001,GELEIA DE FRUTAS DE QUALQUER MARCA OU SABOR
6901002,MOUSSE
6901101,GELEIA DE MOCOTO
6901201,DOCE DE FRUTAS EM PASTA DE QUALQUER SABOR
6901203,PASTA DE AMENDOIM
6901204,PESSEGADA
6901206,MARMELADA
6901209,FIGADA
6901211,GOIABADA
6901214,CAJU EM PASTA
6901224,MARIOLA
6901231,DOCE DE BANANA EM PASTA
6901240,BANANADA
6901301,DOCE DE FRUTAS EM CALDA DE QUALQUER SABOR
6901401,DOCE DE FRUTAS CRISTALIZADO DE QUALQUER SABOR
6901501,MELADO
6901602,MEL
6901701,GELATINA DE QUALQUER SABOR
6901801,ADOCANTE ARTIFICIAL
6902004,MERENGUE
6902209,MARSHMALLOW
6902301,SCHIMIER  / CHIMIA DE CANA
6902401,FRUTA SECA OU DESIDRATADA
6902402,PASSA
6902601,PUDIM DE QUALQUER SABOR
6902607,DANETTE PUDIM
6902701,MANJAR
6902901,CUSCUZ
6902902,CUSCUZ DE TAPIOCA
6902910,CUSCUZ COM LEITE
6902911,CUSCUZ COM LEITE DE COCO
6903001,MARIA MOLE
6903002,BABA DE MOCA
6903101,COCADA
6903102,QUEBRA QUEIXO
6903201,DOCE DE AMENDOIM
6903202,PE DE MOLEQUE
6903203,PACOCA
6903204,TORRAO DE AMENDOIM
6903205,PACOQUINHA DE AMENDOIM
6903207,AMENDOIM CARAMELIZADO
6903208,AMENDOIM AMANTEIGADO
6903209,AMENDOIM ACHOCOLATADO
6903303,AMENDOIM APIMENTADO
6903304,AMENDOIM COZIDO
6903601,BRIGADEIRO
6903701,BOMBA DE QUALQUER TIPO
6903801,MIL FOLHAS
6903802,DOCE DE MASSA FOLHADA
6903901,QUEIJADINHA
6904101,DOCE A BASE DE OVOS
6904104,CACAROLA ITALIANA
6904105,QUINDIM
6904108,FIOS DE OVOS
6904201,DOCE A BASE DE LEITE
6904202,PAVE DE QUALQUER SABOR
6904203,AMBROSIA
6904204,LEITE GELEIFICADO
6904205,CHANDELE DE QUALQUER SABOR
6904301,DOCE DE LEITE
6904302,MUMU
6904401,CANUDINHO RECHEADO
6904501,SAROLHO
6904502,BEIJU
6904601,SCHIMIER  / CHIMIA DE FRUTA (EXCETO DE CANA)
6904701,BEIJO DE MOCA
6904801,PICOLE ENSACADO
6904802,DIN DIN
6904804,CHUPE CHUPE
6904807,"GELINHO, SACOLE"
6905001,CHURRO
6905101,PAMONHA
6905603,IOIO CREME (CHOCOLATE EM CREME)
6905606,NUTELLA
6905702,GUARANA EM PO
6905801,OVO DE PASCOA
6905804,KINDER OVO
6905901,TORRONE
6906001,ARROZ-DOCE
6906404,POLPA DE COCO
6906501,DIET SHAKE
6906502,CONCENTRADO ALIMENTAR DIET SHAKE
6906503,HERBALIFE
6906602,ACUCAR
6907001,ACUCAR LIGHT
6907201,BARRA DE CEREAIS
6907202,BARRA DE CEREAIS SALGADA
6907203,BARRA DE CEREAIS DOCE
6907401,RABANADA
6907501,MILK SHAKE
6907901,GELEIA DIET
6908001,DOCE DE FRUTAS DIET
6908401,PASTEl DE SANTA CLARA
6908501,SUSPIRO
6909301,DOCE DE FRUTAS CRISTALIZADO DE QUALQUER SABOR DIET
6909601,SORVETE DE QUALQUER SABOR INDUSTRIALIZADO LIGHT
6909701,SORVETE DE QUALQUER SABOR INDUSTRIALIZADO DIET
6909803,BALA LIGHT
6909901,CHICLETE DIET
6909903,BALA DIET
6910002,BARRA DE CHOCOLATE LIGHT
6910102,BARRA DE CHOCOLATE DIET
6910221,ACHOCOLATADO EM PO LIGHT
6910321,ACHOCOLATADO EM PO DIET
6910322,TODDYNHO DIET
6910401,BOMBOM DE QUALQUER MARCA LIGHT
6910501,BOMBOM DE QUALQUER MARCA DIET
6910502,BOMBOM CARAMELIZADO DE QUALQUER MARCA DIET
6910601,GELEIA DE FRUTAS DE QUALQUER MARCA OU SABOR LIGHT
6910604,GELEIA LIGHT
6910605,GELEIA DE FRUTAS LIGHT
6910701,DOCE DE FRUTAS EM BARRA OU PASTA LIGHT
6910702,DOCE DE FRUTAS EM PASTA LIGHT
6910801,PUDIM DE QUALQUER SABOR LIGHT
6910808,PUDIM DANETTE LIGHT
6910901,PUDIM DE QUALQUER SABOR DIET
6911201,DOCE DE LEITE LIGHT
6911301,DOCE DE LEITE DIET
6912501,BARRA DE CEREAIS DIET
6912502,BARRA DE CEREAIS DOCE DIET
6912801,MILK SHAKE DIET
6913001,COCADA DIET
6913101,DOCE DE AMENDOIM DIET
6913103,PACOCA DIET
6913108,AMENDOIM AMANTEIGADO DIET
6913801,DOCE A BASE DE LEITE DIET
6913901,GELATINA DE QUALQUER SABOR LIGHT / DIET
6914001,ADOCANTE LIGHT
6914002,ADOCANTE EM PO LIGHT
6914003,ADOCANTE LIQUIDO LIGHT
6914901,SORVETE A BASE DE IOGURTE
6915001,SORVETE DE CASQUINHA / CONE
6915101,SORVETE SUNDAE
6915202,SUSPIRO RECHEADO
6915302,PUDIM DE CHOCOLATE
6915304,PUDIM DE LEITE
6915306,PUDIM DE PAO
6915308,PUDIM DE SORVETE
6915310,PUDIM FLAN
6915501,AMENDOAS CARAMELIZADAS
6915502,CASTANHA DE CAJU CARAMELIZADA
6915503,CASTANHA-DO-PARA CARAMELIZADA
6915504,MISTURA DE CASTANHAS CARAMELIZADAS
6915601,FRUTA CARAMELADA
6915602,BANANA CARAMELADA
6915603,BANANA FLAMBADA
6915701,BANANA PASSA COBERTA DE CHOCOLATE
6915702,BANANINHA COM CHOCOLATE
6915801,CAJUZINHO
6915901,CALDA DE CARAMELO
6915902,CALDA DE CHOCOLATE
6915904,"CALDA SABOR FRUTA (MORANGO, ETC)"
6915905,EXTRATO DE MALTE
6915907,XAROPE DE MAPLE
6916001,CAMAFEU
6916101,CREME BRULE
6916201,DOCE ARABE
6916202,ATAIF
6916301,DOCE DE FEIJAO
6916401,DOCES (CONFEITARIA) NAO ESPECIFICADO
6916501,MACA DO AMOR
6916601,MARRON GLACE
6916701,MARZIPA
6916801,OLHO DE SOGRA
6916901,PASTEL COM RECHEIO DOCE
6917001,PASTEL DE NATA
6917101,PERA AO VINHO
6917201,PETIT GATEAU
6917301,TOUCINHO DO CEU
6917401,WAFFLE
6980001,DOCE DE ABOBORA
6980101,DELICIA DE ABACAXI
6980201,SUFLE DE CHOCOLATE
7001001,CANELA
7001501,MOSTARDA MOLHO
7002304,HORTELA
7002601,COENTRO
7003601,MOLHO DE SOJA
7003604,SHOYO
7003801,LEITE DE COCO
7003901,MOLHO TARTARO
7004301,MAIONESE (MOLHO)
7004801,MOLHO DE TOMATE
7004802,KETCHUP
7004803,CATCHUP
7006101,PIMENTA EM PO
7007101,TUCUPI EM CALDO
7007502,CREME DE QUEIJO
7007701,CALDO DE PEIXE
7007901,CALDO DE TOMATE
7009102,GERGELIM
7010301,TOMATE SECO
7010401,MAIONESE (MOLHO) LIGHT
7010501,MOLHO DE SOJA LIGHT
7010601,LEITE DE COCO LIGHT
7079202,VINAGRETE
7080001,VINAGRE
7080101,SAL
7080301,MOLHO PARA SALADA
7080401,CONSERVA DE BERINJELA
7100101,FILE MIGNON
7100201,CONTRAFILE
7100205,BISTECA BOVINA
7100301,ALCATRA
7100303,MAMINHA
7100304,PICANHA
7100502,CABECA DE LOMBO (CARNE BOVINA)
7100604,POSTA BRANCA
7100606,TATU (LAGARTO REDONDO)
7100607,PAULISTA
7100608,LOMBO PAULISTA (CARNE BOVINA)
7100702,POSTA VERMELHA
7101001,MUSCULO BOVINO
7101006,CHAMBARIL
7101009,CARNE MARICA BOVINA
7101011,VAZIO (CARNE BOVINA)
7101014,OSSOBUCO
7101202,FRALDINHA (CAPA DE FILE)
7101301,COSTELA BOVINA
7101801,VISCERA BOVINA
7101806,PANELADA
7101901,CORACAO BOVINO
7102001,RIM BOVINO
7102102,BOFE BOVINO
7102201,MIOLO BOVINO
7102401,TRIPA BOVINA
7102402,DOBRADINHA FRESCA
7102403,FATO BOVINO
7102404,FATO CAPRINO
7102501,FIGADO BOVINO
7102502,FIGADO BOVINO (BIFE)
7102601,CUPIM
7102701,LINGUA BOVINA
7102801,RABADA BOVINA
7103101,MOCOTO BOVINO
7103104,BRACO BOVINO
7103105,MAO BOVINA
7103301,CARRE
7103303,COSTELETA
7103305,BISTECA SUINA / BISTECA DE PORCO
7103401,PERNIL (CABRITO / OVELHA / CORDEIRO)
7103403,QUARTO SUINO
7103501,COSTELA SUINA / COSTELA DE PORCO
7103701,LOMBO SUINO / LOMBO DE PORCO
7103801,TOUCINHO
7103903,MIUDO SUINO / MIUDO DE PORCO
7103906,ARRASTO SUINO
7103907,SARAPATEL SUINO FRESCO
7104101,CARNE SUINA / CARNE DE PORCO
7104102,CARNE DE PORCO
7104301,CARNE MOIDA
7104302,GUISADO / GUIZADO
7104303,GOULASH
7104501,TRIPA SUINA / PORCO
7104601,FIGADO SUINO / FIGADO DE PORCO
7104602,FIGADO SUINO / FIGADO DE PORCO  (BIFE)
7104701,LINGUA SUINA / LINGUA DE PORCO
7105001,ORELHA SUINA FRESCA
7105103,SARRABULHO
7105203,MOCOTO SUINO / MOCOTO DE PORCO
7105401,CARNE DE CABRITO
7105402,CARNE DE BODE
7105403,CARNE CAPRINA
7105405,CARNE DE CAPRINO
7105601,CARNE DE CARNEIRO
7105602,CARNE DE OVELHA
7105801,MOCOTO DE CAPRINO
7106301,PERNIL (DE PORCO / SUINO)
7107102,BRACHOLA
7107204,BUCHADA DE BODE
7107206,BUCHO / DOBRADINHA ENSOPADO(A)
7107501,SUA SUINA
7107601,CARNE DE OUTROS ANIMAIS
7107603,CARNE DE PACA
7107611,CARNE DE JACARE
7107615,CARNE DE CAPIVARA
7107617,CARNE DE COTIA
7107622,CARNE DE JABUTI
7107804,CHULETA
7108107,MIUDO DE BODE
7108902,BIFE
7109101,CARNE BOVINA
7110902,OSSADA
7112501,COELHO
7112502,CORDEIRO
7112601,BIFE A MILANESA
7112701,BIFE A ROLE
7112702,ROLE DE CARNE
7112801,BIFE DE PANELA
7112802,CARNE DE PANELA
7112901,JOELHO DE PORCO
7113001,KAFTA
7113101,LEITAO
7113201,LOMBINHO
7113301,LOMBO
7113401,MEDALHOES BOVINOS
7113402,TORNEDOR BOVINO
7113501,VITELA
7180001,ROSBIFE
7200101,"PEIXE DO MAR (EM POSTA, EM FILE, ETC)"
7200401,"PEIXE SALGADO (EM POSTA, EM FILE, ETC)"
7260101,CAMARAO
7261101,SIRI
7261112,PATINHA DE CARANGUEJO
7261120,BAU (SIRI)
7261121,GOIA
7262101,CARANGUEJO
7262105,GUAIAMU / GUAIAMUM
7263101,MARISCO
7263102,MEXILHAO
7264101,OSTRA
7265101,LULA
7266101,SURURU
7266106,"AMEIJOA, LAMBRETA, VANGOLE, VIEIRAS, COQUILLE, COQUILHA, SARNAMBI"
7266107,BERBIGAO
7267101,LAGOSTA
7267104,LAGOSTIM
7270401,BACALHAU
7273101,OVAS DE PEIXE (QUALQUER ESPECIE)
7273102,CAVIAR
7274101,POLVO
7280001,NUGGETS DE PEIXE
7280101,CEVICHE DE FRUTOS DO MAR
7280102,CEVICHE DE PEIXE
7280201,DOURADO NA FOLHA DE BANANEIRA
7280301,SASHIMI
7280401,TARTARE DE SALMAO
7280501,FILE DE PEIXE
7280601,PITU
7281201,ATUM FRESCO
7281401,FRUTOS DO MAR
7281501,STEAK DE PEIXE
7400101,"PEIXE DE AGUA DOCE (EM POSTA, EM FILE, ETC)"
7400401,"PEIXE DE AGUA DOCE SALGADO (EM POSTA, EM FILE, ETC)"
7444101,TRACAJA
7480001,PACU
7480101,TAMBAQUI
7480201,TUCUNARE
7600101,"PEIXE NAO ESPECIFICADO (EM POSTA, EM FILE, ETC)"
7600401,"PEIXE NAO ESPECIFICADO SALGADO (EM POSTA, EM FILE, ETC)"
7700101,AZEITONA
7700201,ERVILHA EM CONSERVA
7700202,PETIT POIS
7700401,MILHO VERDE EM CONSERVA
7700501,PALMITO EM CONSERVA
7700601,COGUMELO EM CONSERVA
7700602,CHAMPIGNON EM CONSERVA
7700701,ASPARGO EM CONSERVA
7700901,REPOLHO EM CONSERVA
7700902,CHUCRUTE
7701101,LEGUME NAO ESPECIFICADO EM CONSERVA
7701406,YAKISSOBA
7701501,MILHO VERDE COM ERVILHA EM CONSERVA
7701901,FEIJOADA
7702001,FEIJAO BRANCO COM DOBRADINHA EM CONSERVA
7702101,COZIDO
7702102,PUCHERO
7702302,PASTA DE CARNE EM CONSERVA
7702402,PASTA DE PRESUNTO EM CONSERVA
7702502,PASTA DE GALINHA EM CONSERVA
7702601,CARNE BOVINA EM CONSERVA
7702602,ALMONDEGA
7702603,KITUTE BOVINO
7702704,KITUTE SUINO / KITUTE DE PORCO
7702705,PRESUNTADA
7702707,FIAMBRE
7702801,SALSICHA EM CONSERVA
7703002,SARDINHA EM CONSERVA
7703402,ATUM EM CONSERVA
7703701,PEPINO EM CONSERVA
7703902,PASTA DE PEIXE EM CONSERVA
7704001,PICLES
7705201,NABO EM CONSERVA
7705401,STROGONOFF / ESTROGONOFE
7705901,KANI KAMA
7706001,SALMAO EM CONSERVA
7706302,ATUM EM CONSERVA LIGHT
7800301,PARTE DE GALINHA OU FRANGO NAO ESPECIFICADA
7800302,FRANGO EM PEDACOS
7800303,GALINHA EM PEDACOS
7800304,CARNE DE GALINHA
7800307,FRANGO DESFIADO
7800401,PEITO DE GALINHA OU FRANGO
7800402,FILE DE FRANGO
7800503,SOBRECOXA / COXA DE FRANGO / GALINHA
7800701,ASA DE GALINHA OU FRANGO
7800702,DRUMETE DE GALINHA OU FRANGO
7800801,PESCOCO DE GALINHA OU FRANGO
7800901,PE DE GALINHA OU FRANGO
7801001,MIUDO DE GALINHA OU FRANGO
7801101,MOELA DE GALINHA OU FRANGO
7801202,CORACAO DE FRANGO
7801301,FIGADO DE GALINHA OU FRANGO
7801407,CANJA
7801702,PERU EM PEDACO NAO ESPECIFICADO
7801801,PEITO DE PERU
7801901,COXA DE PERU
7802101,ASA DE PERU
7802701,CHESTER
7802702,TENDER
7802801,NAMBU
7802901,NUGGETS DE FRANGO
7802902,STEAK DE FRANGO
7802905,NUGGET RECHEADO
7802906,"NUGGETS, OUTROS"
7803001,CODORNA
7803201,PE E ASA DE GALINHA OU FRANGO
7803301,OVO DE GALINHA
7803501,OVO DE CODORNA
7803702,GALINHA DANGOLA
7803703,CAPOTE
7803707,MUTUM
7803907,PATO EM PEDACOS
7803908,PEITO DE PATO
7803913,CARNE DE PATO
7805401,PEITO DE PERU LIGHT
7806002,"MARRECO, CARNE NAO ESPECIFICADO"
7806201,CARNE MOIDA DE FRANGO
7807101,OVO CLARA
7807201,OVO GEMA
7807301,OVOS MEXIDOS
7807401,OVOS MOLES
7807501,FRANGO A PASSARINHO
7807602,ROLE DE FRANGO OU GALINHA
7807702,"GANSO, CARNE NAO ESPECIFICADO"
7900101,LEITE DE VACA INTEGRAL
7900201,LEITE DE VACA FRESCO
7900301,LEITE DE CABRA
7900601,LEITE EM PO INTEGRAL
7900710,LEITE EM PO DESNATADO
7900801,LEITE EM PO
7900901,LEITE CONDENSADO
7900903,LEITE BEIJINHO
7901001,CREME DE LEITE
7901101,CHANTILLY
7901201,IOGURTE DE QUALQUER SABOR
7901203,IOGURTE DESNATADO
7901204,IOGURTE NATURAL
7901301,YAKULT DE QUALQUER SABOR
7901303,BEBIDA LACTEA
7901304,LEITE FERMENTADO
7901401,COALHADA
7901501,MANTEIGA COM OU SEM SAL
7901505,MANTEIGA DE GARRAFA
7901602,MARGARINA COM OU SEM SAL
7901701,QUEIJO PRATO
